ISO3,country,bii_mean,bii_logit_mean,bii_logit_se,n_langs,log_n_langs
GEO,Georgia,0.7661501288414001,1.1867695582160287,0.00815497653075564,29,3.367295829986474
DEU,Germany,0.6889670491218567,0.7959159117375245,0.028415799522356296,43,3.7612001156935624
GHA,Ghana,0.5553211569786072,0.22230975261863034,0.023686815246349666,96,4.564348191467836
GRC,Greece,0.6548303484916687,0.6403554620375796,0.00497079138841389,29,3.367295829986474
GRL,Greenland,0.9114770412445068,2.331804919139143,5.242790763552436e-4,5,1.6094379124341003
GRD,Grenada,0.9422234535217285,2.7930957652806336,0.02820845271579467,1,0
GLP,Guadeloupe,0.9126516699790954,2.346451381375473,7.837983199617909e-4,2,0.6931471805599453
GUM,Guam,NA,NA,NA,2,0.6931471805599453
GTM,Guatemala,0.5977349758148194,0.39616669983954983,0.018505152792803948,38,3.6375861597263857
GGY,Guernsey,NA,NA,NA,2,0.6931471805599453
GIN,Guinea,0.5513681530952453,0.2065374988885449,0.044306494146646336,53,3.970291913552122
GNB,Guinea-Bissau,0.6093542218208313,0.4451234120488551,0.035706417323820176,32,3.4657359027997265
GUY,Guyana,0.9389260053634644,2.7329831204665553,0.013750496731407399,25,3.2188758248682006
HTI,Haiti,0.4674015581607819,-0.13063031233141428,0.020903728785208745,3,1.0986122886681098
HMD,Heard & McDonald Islands,NA,NA,NA,NA,NA
HND,Honduras,0.7170749187469483,0.9302567900186905,0.01733087178551638,11,2.3978952727983707
HKG,Hong Kong SAR China,0.758009135723114,1.1418868905163615,0.00941826902629679,NA,NA
HUN,Hungary,0.6085714817047119,0.44148973216626486,0.020104908662185086,20,2.995732273553991
ISL,Iceland,0.8198529839515686,1.5153807210829702,0.004758842971015187,3,1.0986122886681098
